State,Zipcode,Recipients_Total,Grants_Total,Total,Black,White,NotHisp_Latino,Hisp_Latino,geoid,Median_Income,Below_Poverty_Percent,Below_Poverty_Total,Updated
Florida,32204,11,1958861.55,7547.0,1932.0,5007.0,7076.0,471.0,86000US32204,60809.0,26.99,1941.0,No
Florida,32205,6,2123750.74,30305.0,7841.0,22022.0,27734.0,2571.0,86000US32205,60879.0,19.14,5777.0,No
Florida,32206,5,208960.72,16027.0,11671.0,4450.0,15321.0,706.0,86000US32206,40572.0,32.98,5220.0,No
Florida,32207,19,2174536.35,35488.0,6485.0,25132.0,29725.0,5763.0,86000US32207,60315.0,19.72,6961.0,No
Florida,32208,1,2418.13,30841.0,25269.0,5673.0,30141.0,700.0,86000US32208,45093.0,23.69,7283.0,No
Florida,32210,9,1400752.67,62048.0,24782.0,34861.0,56780.0,5268.0,86000US32210,57594.0,16.68,10314.0,No
Florida,32211,3,164573.25,35657.0,14501.0,20203.0,31152.0,4505.0,86000US32211,50223.0,15.74,5560.0,No
Florida,32216,12,695973.55,38231.0,8213.0,26186.0,32535.0,5696.0,86000US32216,63803.0,20.2,7535.0,No
Florida,32217,7,425832.21,19899.0,2758.0,16190.0,17012.0,2887.0,86000US32217,67589.0,13.74,2689.0,No
Florida,32218,13,1525835.61,64007.0,33297.0,29126.0,59815.0,4192.0,86000US32218,68165.0,13.71,8628.0,No
Florida,32219,1,2895.95,12685.0,7630.0,4596.0,12380.0,305.0,86000US32219,54618.0,16.54,2068.0,No
Florida,32220,1,67838.72,12981.0,2566.0,10293.0,12705.0,276.0,86000US32220,75262.0,14.96,1929.0,No
Florida,32221,2,18879.11,30900.0,10420.0,18355.0,28624.0,2276.0,86000US32221,69423.0,12.22,3746.0,No
Florida,32222,3,26659.97,11521.0,4626.0,5965.0,9559.0,1962.0,86000US32222,66912.0,13.86,1588.0,No
Florida,32223,6,1474875.23,24571.0,946.0,22801.0,22876.0,1695.0,86000US32223,96932.0,5.84,1434.0,No
Florida,32224,9,1447638.79,44058.0,5143.0,37272.0,38175.0,5883.0,86000US32224,104324.0,7.55,3008.0,No
Florida,32225,19,2934390.02,55018.0,9174.0,42223.0,50100.0,4918.0,86000US32225,84784.0,7.17,3935.0,No
Florida,32226,1,123823.07,15667.0,2554.0,12609.0,14688.0,979.0,86000US32226,89312.0,6.11,954.0,No
Florida,32233,12,1227022.96,24979.0,3112.0,21118.0,22991.0,1988.0,86000US32233,76882.0,8.21,1883.0,No
Florida,32244,5,757694.38,59402.0,22130.0,31650.0,51589.0,7813.0,86000US32244,59779.0,15.07,8883.0,No
Florida,32246,9,1826411.69,51589.0,9157.0,35132.0,43397.0,8192.0,86000US32246,68119.0,12.3,6326.0,No
Florida,32250,13,6271212.0,27246.0,855.0,25991.0,24920.0,2326.0,86000US32250,114897.0,7.23,1951.0,No
Florida,32256,21,2700133.37,47943.0,9351.0,32869.0,42008.0,5935.0,86000US32256,82088.0,9.12,4357.0,No
Florida,32257,11,1541185.1,39000.0,5504.0,31117.0,34836.0,4164.0,86000US32257,78984.0,7.89,3047.0,No
Florida,32258,3,514626.0,34036.0,3780.0,25579.0,31297.0,2739.0,86000US32258,92795.0,6.41,2158.0,No
Florida,32259,10,2105699.98,52296.0,3059.0,46929.0,48453.0,3843.0,86000US32259,125033.0,2.87,1497.0,No
Florida,32277,6,398004.34,32327.0,14232.0,17073.0,29303.0,3024.0,86000US32277,60658.0,11.57,3621.0,No
Florida,32301,27,2417719.12,31317.0,15687.0,14941.0,29465.0,1852.0,86000US32301,55602.0,24.28,7125.0,No
Florida,32303,30,5775854.79,48507.0,17343.0,30450.0,46091.0,2416.0,86000US32303,66920.0,18.49,8924.0,No
Florida,32304,18,4286304.88,49927.0,19271.0,28461.0,45392.0,4535.0,86000US32304,30806.0,56.03,23772.0,No
Florida,32305,1,33570.67,20902.0,12337.0,8518.0,19644.0,1258.0,86000US32305,44182.0,24.45,4984.0,No
Florida,32308,4,417521.83,22029.0,5347.0,16414.0,21005.0,1024.0,86000US32308,95679.0,10.29,2186.0,No
Florida,32309,4,2215317.72,31597.0,3758.0,26066.0,29216.0,2381.0,86000US32309,97253.0,5.56,1756.0,No
Florida,32310,6,462009.62,15544.0,8210.0,6762.0,14308.0,1236.0,86000US32310,46277.0,28.16,4195.0,No
Florida,32311,4,330351.89,22264.0,6855.0,14126.0,20778.0,1486.0,86000US32311,86347.0,4.77,1014.0,No
Florida,32312,9,1330790.11,32783.0,3488.0,27172.0,31346.0,1437.0,86000US32312,114956.0,6.28,2058.0,No
