Zipcode,Total,Black,White,NotHisp_Latino,Hisp_Latino,geoid,Median_Income,Below_Poverty_Percent,Below_Poverty_Total,Updated
32117,26425.0,7801.0,17169.0,23771.0,2654.0,86000US32117,46098.0,21.15,5483.0,No
32118,17520.0,758.0,16289.0,16477.0,1043.0,86000US32118,60607.0,15.23,2667.0,No
32119,22344.0,2773.0,18834.0,20382.0,1962.0,86000US32119,52166.0,16.89,3759.0,No
32120,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32121,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32123,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32124,6117.0,1334.0,4481.0,5584.0,533.0,86000US32124,76944.0,13.14,552.0,No
32125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32126,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32127,30398.0,1446.0,28076.0,28122.0,2276.0,86000US32127,66180.0,15.04,4547.0,No
32128,21183.0,1182.0,19073.0,20108.0,1075.0,86000US32128,95453.0,10.08,2129.0,No
32129,22185.0,1420.0,19247.0,20490.0,1695.0,86000US32129,60822.0,15.32,3396.0,No
32130,5703.0,122.0,5083.0,3993.0,1710.0,86000US32130,56905.0,16.83,960.0,No
32131,4365.0,1041.0,3254.0,4110.0,255.0,86000US32131,59274.0,14.95,566.0,No
32132,7570.0,298.0,7251.0,7454.0,116.0,86000US32132,60911.0,11.66,879.0,No
32133,17.0,0.0,17.0,17.0,0.0,86000US32133,N/A,100.0,17.0,No
32134,7754.0,30.0,7699.0,7239.0,515.0,86000US32134,46327.0,27.64,2125.0,No
32135,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32136,8306.0,232.0,7934.0,7970.0,336.0,86000US32136,71014.0,10.34,859.0,No
32137,43876.0,3545.0,38013.0,39397.0,4479.0,86000US32137,68711.0,12.19,5296.0,No
32138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32139,971.0,13.0,875.0,832.0,139.0,86000US32139,36667.0,25.75,250.0,No
32140,1439.0,0.0,1439.0,1427.0,12.0,86000US32140,42083.0,20.85,300.0,No
32141,19031.0,413.0,17909.0,18008.0,1023.0,86000US32141,56325.0,11.99,2276.0,No
32142,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32145,5723.0,1215.0,4486.0,5329.0,394.0,86000US32145,48929.0,22.63,1235.0,No
32147,790.0,0.0,790.0,790.0,0.0,86000US32147,N/A,29.2,212.0,No
32148,10710.0,565.0,10227.0,9506.0,1204.0,86000US32148,38611.0,27.16,2859.0,No
32149,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32157,363.0,0.0,357.0,350.0,13.0,86000US32157,53140.0,2.2,8.0,No
32158,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32159,29920.0,858.0,28112.0,28296.0,1624.0,86000US32159,58492.0,10.83,3211.0,No
32160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32162,54951.0,274.0,53812.0,54297.0,654.0,86000US32162,74226.0,4.69,2572.0,No
32164,47341.0,7449.0,37532.0,41647.0,5694.0,86000US32164,55469.0,11.75,5527.0,No
32168,27679.0,1522.0,25655.0,26858.0,821.0,86000US32168,71644.0,11.9,3287.0,No
32169,10228.0,45.0,10052.0,10023.0,205.0,86000US32169,90679.0,5.86,588.0,No
32170,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32173,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32174,51165.0,2473.0,47752.0,48202.0,2963.0,86000US32174,68178.0,8.46,4265.0,No
32175,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32176,14460.0,398.0,13792.0,13665.0,795.0,86000US32176,64951.0,12.05,1740.0,No
32177,26845.0,7270.0,19470.0,25031.0,1814.0,86000US32177,46431.0,25.17,6624.0,No
32178,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32179,7919.0,697.0,7181.0,7602.0,317.0,86000US32179,41771.0,23.13,1832.0,No
32180,4535.0,257.0,3787.0,3016.0,1519.0,86000US32180,49364.0,24.05,1080.0,No
32181,2558.0,231.0,2336.0,2413.0,145.0,86000US32181,47661.0,30.19,771.0,No
32182,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32183,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
