Zipcode,Black
33461,9906
33462,7021
33463,18451
33467,5422
33469,107
33470,3406
33471,1688
33472,2381
33473,1139
33476,5691
33477,150
33478,219
33480,90
33483,722
33484,2128
33486,1035
33487,844
33493,2997
33496,712
33498,370
33503,0
33510,5784
33511,11627
33513,1321
33514,526
33521,320
33523,2049
33525,1563
33527,791
33534,3290
33538,54
33540,209
33541,1854
33542,991
33543,3434
33544,2884
33545,4026
33547,1792
33548,509
33549,1192
33556,1623
33558,1596
33559,2587
33563,5396
33565,426
33566,1007
33567,1264
33569,4373
33570,4211
33572,1635
33573,1802
33576,122
33578,12147
33579,8448
33584,4373
33585,54
33592,1731
33594,4685
33596,2998
33597,609
33598,2134
33602,3059
33603,6132
33604,11143
33605,10047
33606,1468
33607,6613
33609,814
33610,27571
33611,2510
33612,17917
33613,7643
33614,7487
33615,5778
33616,2673
33617,19137
33618,2327
33619,16422
33620,882
33621,891
33624,4090
33625,3785
33626,1547
33629,476
33634,4057
33635,1718
33637,4717
33647,13306
33701,2985
33702,3846
33703,1278
33704,618
33705,15943
33706,218
33707,2072
33708,268
33709,1565
33710,2802
33711,10460
33712,17264
33713,3688
33714,3443
33715,65
33716,3309
33744,34
33755,6782
33756,4981
33759,1457
33760,3175
33761,728
33762,1164
33763,1080
33764,1435
33765,1433
33767,147
33770,1956
33771,2009
33772,697
33773,627
33774,1695
33776,291
33777,929
33778,1837
33781,2209
33782,1911
33785,39
33786,38
33801,5735
33803,2641
33805,10128
33809,3256
33810,8379
33811,1907
33812,1194
33813,2067
33815,4161
33823,3639
33825,5216
33827,287
33830,6656
33834,983
33837,3869
33838,1319
33839,229
33841,1312
33843,1223
33844,8516
33847,13
33848,38
33849,0
33850,1689
33851,43
33852,1143
33853,3376
33854,27
33855,0
33856,22
33857,0
33859,2017
33860,2685
33865,95
33867,0
33868,872
33870,3675
33872,1053
33873,1034
33875,475
33876,161
33877,246
33880,7626
33881,11147
33884,2966
33890,86
33896,1595
33897,2200
33898,1990
33901,4960
33903,986
33904,972
33905,3153
33907,2961
33908,675
33909,2620
33912,140
33913,1405
33914,1538
33916,9928
33917,1168
33919,966
33920,426
33921,156
33922,323
33924,51
33928,468
33930,0
33931,20
33935,1934
33936,2727
33944,0
33945,0
33946,0
33947,56
33948,1516
33950,453
33952,3836
33953,157
33954,1031
33955,1018
33956,0
33957,31
33960,0
33965,290
33966,533
33967,1317
33971,7137
33972,2993
33973,6137
33974,3194
33976,4279
33980,1189
33981,407
33982,293
33983,1575
33990,2656
33991,895
33993,2277
34101,0
34102,969
34103,351
34104,1080
34105,500
34108,269
34109,741
34110,591
34112,2590
34113,3307
34114,1857
34116,4854
34117,919
34119,643
34120,2832
34134,203
34135,1683
34137,0
34138,0
34139,0
34140,0
34141,20
34142,6070
34145,24
34201,137
34202,514
34203,3759
34205,4477
34207,2971
34208,10377
34209,1176
34210,1583
34211,439
34212,616
34215,10
34216,2
34217,19
34219,1125
34221,7882
34222,453
34223,7
34224,236
34228,0
34229,68
34231,757
34232,678
34233,279
34234,8220
34235,927
34236,849
34237,1863
34238,187
34239,429
34240,178
34241,185
34242,10
34243,1923
34251,69
34266,4437
34268,157
34269,169
34275,1203
34285,208
34286,2176
34287,1929
34288,534
34289,697
34291,319
34292,36
34293,481
34420,1091
34428,353
34429,247
34431,360
34432,996
34433,197
34434,922
34436,141
34442,369
34445,0
34446,154
34448,307
34449,62
34450,417
34452,140
34453,363
34461,705
34465,1002
34470,2963
34471,2942
34472,7462
34473,5807
34474,1528
34475,6996
34476,2169
34479,1520
34480,2344
34481,798
34482,4874
34484,235
34488,1205
34491,1255
34498,6
34601,2070
34602,1024
34604,789
34606,901
34607,421
34608,2377
34609,3346
34610,684
34613,756
34614,336
34637,965
34638,3043
34639,1888
34652,645
34653,1825
34654,808
34655,1485
34661,0
34667,763
34668,2254
34669,505
34677,1034
34679,0
34681,2
34683,854
34684,1179
34685,581
34688,103
34689,2617
34690,710
34691,1600
34695,1150
34698,1757
34705,91
34711,5977
34714,3059
34715,2635
34731,1590
34734,806
34736,3577
34737,88
34739,12
34741,6224
34743,7753
34744,6327
34746,5032
34747,1799
34748,7487
34753,1160
34756,114
34758,11531
34759,10539
34760,262
34761,9529
34762,90
34769,1916
34771,1839
34772,3543
34773,136
34785,6204
34786,4924
34787,11658
34788,493
34797,159
34945,819
34946,3503
34947,7823
34949,34
34950,9009
34951,1840
34952,5232
34953,16169
34956,2519
34957,818
34972,2934
34974,989
34981,889
34982,3412
34983,7604
34984,3912
34986,5940
34987,1931
34990,272
34994,2066
34996,292
34997,2387
