geoid,Zipcode,Median_Income
86000US32653,32653,93232
86000US32656,32656,59261
86000US32658,32658,71250
86000US32664,32664,51786
86000US32666,32666,59250
86000US32667,32667,83400
86000US32668,32668,51058
86000US32669,32669,81813
86000US32680,32680,41923
86000US32681,32681,
86000US32683,32683,
86000US32686,32686,47629
86000US32692,32692,
86000US32693,32693,48194
86000US32694,32694,64583
86000US32696,32696,60085
86000US32697,32697,27292
86000US32701,32701,65795
86000US32702,32702,59125
86000US32703,32703,59069
86000US32707,32707,66137
86000US32708,32708,85779
86000US32709,32709,56889
86000US32712,32712,88214
86000US32713,32713,80923
86000US32714,32714,61869
86000US32720,32720,62601
86000US32724,32724,65469
86000US32725,32725,58948
86000US32726,32726,53389
86000US32730,32730,52438
86000US32732,32732,95143
86000US32735,32735,66518
86000US32736,32736,88464
86000US32738,32738,57835
86000US32744,32744,50750
86000US32746,32746,100412
86000US32750,32750,83533
86000US32751,32751,94779
86000US32754,32754,59845
86000US32757,32757,73319
86000US32759,32759,49890
86000US32763,32763,57535
86000US32764,32764,82019
86000US32765,32765,100152
86000US32766,32766,116994
86000US32767,32767,58854
86000US32771,32771,72919
86000US32773,32773,50690
86000US32776,32776,91070
86000US32778,32778,65179
86000US32779,32779,106607
86000US32780,32780,63372
86000US32784,32784,64682
86000US32789,32789,120480
86000US32792,32792,72796
86000US32796,32796,63271
86000US32798,32798,71049
86000US32801,32801,85132
86000US32803,32803,94286
86000US32804,32804,110000
86000US32805,32805,34597
86000US32806,32806,86801
86000US32807,32807,47782
86000US32808,32808,39534
86000US32809,32809,48875
86000US32810,32810,53801
86000US32811,32811,40608
86000US32812,32812,65552
86000US32814,32814,154853
86000US32817,32817,76061
86000US32818,32818,48196
86000US32819,32819,84033
86000US32820,32820,96119
86000US32821,32821,55613
86000US32822,32822,41930
86000US32824,32824,70311
86000US32825,32825,64437
86000US32826,32826,61791
86000US32827,32827,100828
86000US32828,32828,84268
86000US32829,32829,81549
86000US32830,32830,
86000US32831,32831,
