Zipcode,Total
33410,35089
33411,72546
33412,15472
33413,17487
33414,61323
33415,51791
33417,33743
33418,40926
33426,23866
33428,41441
33430,23172
33431,21610
33432,20487
33433,40257
33434,20486
33435,36166
33436,44489
33437,38152
33438,367
33440,19761
33441,27323
33442,28964
33444,24597
33445,31703
33446,26006
33449,12321
33455,22200
33458,58714
33460,32573
33461,47735
33462,33241
33463,63577
33467,54261
33469,14924
33470,27317
33471,6866
33472,19925
33473,12210
33476,8513
33477,12608
33478,14067
33480,10031
33483,12703
33484,26299
33486,23325
33487,20677
33493,5532
33496,22530
33498,15150
33503,162
33510,29574
33511,58833
33513,12713
33514,2717
33521,557
33523,18835
33525,20576
33527,15092
33534,17123
33538,4728
33540,8652
33541,21612
33542,22057
33543,28156
33544,28187
33545,19592
33547,25907
33548,7222
33549,17998
33556,23182
33558,24248
33559,18473
33563,28033
33565,17864
33566,21505
33567,12195
33569,28442
33570,29967
33572,20380
33573,23170
33576,4543
33578,52486
33579,36005
33584,26798
33585,1133
33592,11546
33594,34941
33596,30830
33597,7702
33598,20053
33602,15586
33603,21366
33604,39604
33605,17655
33606,20576
33607,24384
33609,18367
33610,46799
33611,33070
33612,51745
33613,36270
33614,49060
33615,47512
33616,16781
33617,47441
33618,27352
33619,40092
33620,5318
33621,2751
33624,39803
33625,27305
33626,30743
33629,27061
33634,22719
33635,18650
33637,17555
33647,71004
33701,15728
33702,32019
33703,25699
33704,16982
33705,28857
33706,16321
33707,24767
33708,16083
33709,24619
33710,34222
33711,19706
33712,24738
33713,32348
33714,21866
33715,7296
33716,18242
33744,122
33755,26616
33756,33971
33759,18236
33760,17336
33761,19794
33762,8355
33763,19730
33764,27320
33765,14744
33767,7452
33770,26627
33771,30365
33772,23125
33773,17595
33774,18097
33776,13573
33777,16748
33778,14582
33781,24856
33782,23443
33785,5432
33786,1565
33801,34370
33803,29460
33805,25529
33809,30347
33810,51139
33811,22293
33812,12998
33813,38214
33815,15148
33823,33615
33825,26420
33827,3062
33830,28884
33834,7524
33837,30634
33838,4358
33839,3356
33841,8969
33843,11032
33844,36701
33847,176
33848,1022
33849,1171
33850,8324
33851,1153
33852,21099
33853,11649
33854,294
33855,0
33856,270
33857,2377
33859,11025
33860,26893
33865,958
33867,327
33868,12081
33870,22284
33872,15923
33873,14162
33875,11522
33876,4888
33877,618
33880,40519
33881,34340
33884,32019
33890,4773
33896,11654
33897,22752
33898,16931
33901,21364
33903,22657
33904,31086
33905,37492
33907,24429
33908,36513
33909,31750
33912,18646
33913,25497
33914,38281
33916,24907
33917,30049
33919,30330
33920,6243
33921,813
33922,4108
33924,195
33928,25141
33930,930
33931,10566
33935,23513
33936,24517
33944,219
33945,0
33946,2104
33947,9096
33948,17122
33950,23299
33952,33390
33953,6741
33954,10573
33955,11436
33956,3489
33957,7319
33960,672
33965,1735
33966,10065
33967,25129
33971,27941
33972,15515
33973,17161
33974,17757
33976,18245
33980,13342
33981,11407
33982,10391
33983,15100
33990,34657
33991,22516
33993,27905
34101,0
34102,11548
34103,13129
34104,24520
34105,18011
34108,16450
34109,24251
34110,23988
34112,27064
34113,22175
34114,18223
34116,36111
34117,17039
34119,32911
34120,35498
34134,14992
34135,47356
34137,651
34138,340
34139,204
34140,337
34141,67
34142,30534
34145,17834
34201,3997
34202,24637
34203,38971
34205,32294
34207,36292
34208,40998
34209,35172
34210,16462
34211,8898
34212,21244
34215,596
34216,724
34217,5079
34219,24750
34221,46357
34222,11659
34223,18336
34224,16422
34228,7283
34229,7674
34231,30341
34232,35240
34233,17767
34234,21932
34235,15303
34236,13217
34237,18071
34238,20049
34239,15716
34240,11442
34241,15568
34242,7465
34243,31901
34251,7115
34266,32229
34268,157
34269,4517
34275,20472
34285,18653
34286,20178
34287,28614
34288,11511
34289,3481
34291,5626
34292,15398
34293,39534
34420,17749
34428,9043
34429,8338
34431,8002
34432,12673
34433,6574
34434,8021
34436,8169
34442,14752
34445,0
34446,17454
34448,10394
34449,3192
34450,10692
34452,11903
34453,10621
34461,11380
34465,17455
34470,19794
34471,25734
34472,31344
34473,19998
34474,17143
34475,13179
34476,23279
34479,13603
34480,19188
34481,20963
34482,24352
34484,3637
34488,10424
34491,26614
34498,585
34601,22487
34602,7697
34604,12608
34606,27209
