Zipcode,NotHisp_Latino,Hisp_Latino
32952,19506,1460
32953,21721,2218
32955,35125,3764
32958,27078,1539
32960,19783,2253
32962,20912,5547
32963,14432,595
32966,16832,1630
32967,20492,1827
32968,12417,737
32970,369,0
32976,8769,323
33001,261,70
33004,12247,3835
33009,26504,15074
33010,2119,43127
33012,2795,71033
33013,1190,30522
33014,4169,37755
33015,9906,57285
33016,2761,48939
33018,2530,50889
33019,10117,3612
33020,30360,14787
33021,33058,16883
33023,50105,23868
33024,36021,40487
33025,50103,23325
33026,18616,13275
33027,32666,28013
33028,15298,11550
33029,26000,22161
33030,9822,25481
33031,3180,3944
33032,16975,33160
33033,15996,42431
33034,10469,11673
33035,6901,9258
33036,3093,403
33037,8404,2412
33039,30,250
33040,24761,9710
33042,6120,503
33043,4134,799
33050,6200,3243
33051,483,51
33054,21563,10234
33055,14052,26831
33056,28858,7252
33060,29198,8414
33062,19938,2754
33063,38765,15942
33064,46580,14713
33065,39233,18938
33066,14648,2104
33067,21442,5916
33068,39933,12816
33069,22216,5922
33070,3884,1248
33071,27804,11598
33073,25714,9664
33076,30937,8154
33101,0,0
33109,350,58
33122,71,134
33125,5195,55961
33126,2374,50612
33127,15245,16657
33128,734,7258
33129,4361,9389
33130,5149,24588
33131,8263,10214
33132,6668,7181
33133,14699,20893
33134,8437,31828
33135,1873,37047
33136,8297,7551
33137,10958,11997
33138,18502,11719
33139,18912,20515
33140,10037,9901
33141,13347,26421
33142,21265,37808
33143,12043,19013
33144,1769,27575
33145,4939,25774
33146,8768,7705
33147,28412,19399
33149,3962,8981
33150,22625,7027
33154,8301,6333
33155,7022,39595
33156,15318,18196
33157,31487,35968
33158,4200,2269
33160,21196,18419
33161,41209,14921
33162,33844,13279
33165,5101,50721
33166,5579,18767
33167,13518,7064
33168,20507,6907
33169,36146,5480
33170,6199,7922
33172,2915,40441
33173,6679,26410
33174,4434,29969
33175,4001,49347
33176,19584,32704
33177,13060,44466
33178,7831,44375
33179,28089,16252
33180,19751,12690
33181,11303,8808
33182,2502,14105
33183,4979,31746
33184,1270,20515
33185,3029,28330
33186,22157,46424
33187,5154,14238
33189,9710,15588
33190,5288,10859
33193,5347,44652
33194,2524,5557
33196,10709,42338
33301,12744,2244
33304,15185,3166
33305,10890,1332
33306,2737,387
33308,23155,4139
33309,31208,9636
33311,71587,4486
33312,37564,17734
33313,56661,6181
33314,13846,13415
33315,10549,3252
33316,8125,1611
33317,25966,12461
33319,38536,8250
33321,32408,15005
33322,25930,13167
33323,14191,7460
33324,33979,15066
33325,16757,12612
33326,15810,17345
33327,10820,12991
33328,21741,7885
33330,10394,5399
33331,15044,10674
33332,6157,5465
33334,19751,9743
33351,25348,10421
33401,24124,4563
33403,11591,1203
33404,28020,1319
33405,9242,11391
33406,13508,14077
33407,26060,5491
33408,16426,1781
33409,21920,11292
33410,30482,4607
33411,56716,15830
33412,13870,1602
