Zipcode,White
33411,49984
33412,12335
33413,11391
33414,48585
33415,38392
33417,20154
33418,35956
33426,18260
33428,35826
33430,8928
33431,18865
33432,18284
33433,36011
33434,18143
33435,20774
33436,32031
33437,32881
33438,319
33440,14472
33441,16832
33442,24742
33444,11579
33445,22251
33446,23487
33449,10594
33455,20168
33458,52728
33460,24435
33461,35371
33462,25354
33463,40076
33467,46479
33469,14413
33470,22872
33471,5118
33472,17046
33473,9889
33476,2375
33477,12285
33478,13655
33480,9589
33483,11811
33484,23315
33486,20110
33487,18789
33493,2381
33496,20759
33498,13370
33503,130
33510,21314
33511,43145
33513,10923
33514,2515
33521,221
33523,16345
33525,18285
33527,12800
33534,12377
33538,4574
33540,8312
33541,19004
33542,20546
33543,22496
33544,23665
33545,14717
33547,22925
33548,6481
33549,15257
33556,20179
33558,21301
33559,14596
33563,19071
33565,16107
33566,18809
33567,9756
33569,21533
33570,20654
33572,17290
33573,20946
33576,4399
33578,35517
33579,25916
33584,21262
33585,1015
33592,9673
33594,27637
33596,26368
33597,6962
33598,11199
33602,11735
33603,14735
33604,27734
33605,7459
33606,18239
33607,16357
33609,16480
33610,17696
33611,28751
33612,30746
33613,24420
33614,38273
33615,38073
33616,13137
33617,26198
33618,23178
33619,20308
33620,4084
33621,1864
33624,33066
33625,21846
33626,25786
33629,25553
33634,17188
33635,15304
33637,11695
33647,46216
33701,12834
33702,26898
33703,23662
33704,16105
33705,12758
33706,15595
33707,22270
33708,15547
33709,21002
33710,30616
33711,8973
33712,7113
33713,25481
33714,16845
33715,7114
33716,13883
33744,88
33755,18999
33756,28038
33759,16347
33760,12634
33761,18236
33762,6768
33763,18136
33764,24653
33765,12735
33767,7075
33770,24147
33771,27573
33772,21861
33773,15302
33774,16279
33776,12949
33777,15481
33778,12321
33781,20102
33782,19853
33785,5322
33786,1502
33801,27185
33803,25569
33805,13536
33809,25846
33810,41251
33811,19643
33812,11060
33813,34529
33815,8810
33823,29319
33825,18120
33827,2747
33830,21391
33834,5525
33837,25347
33838,3147
33839,3082
33841,7112
33843,9576
33844,27205
33847,155
33848,750
33849,1025
33850,6047
33851,1087
33852,19240
33853,8281
33854,267
33855,0
33856,241
33857,2158
33859,9000
33860,20830
33865,863
33867,327
33868,10820
33870,16986
33872,13703
33873,11724
33875,10816
33876,4707
33877,618
33880,31922
33881,22583
33884,27936
33890,4268
33896,9470
33897,18734
33898,14702
33901,14738
33903,20981
33904,29556
33905,31476
33907,19929
33908,34507
33909,27788
33912,17331
33913,22028
33914,35207
33916,11269
33917,28573
33919,28040
33920,5748
33921,670
33922,3732
33924,132
33928,23648
33930,930
33931,10448
33935,21112
33936,20840
33944,219
33945,0
33946,2104
33947,8786
33948,15260
33950,22342
33952,28763
33953,6398
33954,9181
33955,10110
33956,3468
33957,7142
33960,664
33965,1480
33966,8882
33967,22425
33971,19420
33972,12780
33973,10244
33974,13650
33976,12508
33980,12183
33981,10882
33982,9840
33983,13139
33990,30767
33991,21181
33993,24844
34101,0
34102,10437
34103,12661
34104,22654
34105,16807
34108,15985
34109,22279
34110,22952
34112,23953
34113,18168
34114,16217
34116,30281
34117,14939
34119,31594
34120,32362
34134,14165
34135,42987
34137,651
34138,340
34139,204
34140,337
34141,47
34142,23109
34145,17635
34201,3810
34202,23607
34203,33411
34205,26336
34207,32664
34208,29138
34209,33636
34210,14302
34211,8378
34212,19341
34215,585
34216,701
34217,4986
34219,23144
34221,36765
34222,10636
34223,17690
34224,16003
34228,7200
34229,7512
34231,28612
34232,33495
34233,17074
34234,13620
34235,14195
34236,12137
34237,15546
34238,19419
34239,14667
34240,10895
34241,15100
34242,7306
34243,28960
34251,6921
34266,27138
34268,0
34269,4343
34275,19322
34285,18025
34286,18648
34287,26432
34288,10359
34289,2754
34291,4924
34292,15146
34293,38259
34420,16486
34428,8684
34429,7860
34431,7342
34432,11349
34433,6201
34434,7087
34436,7940
34442,13210
34445,0
34446,17046
34448,10202
34449,3135
34450,10225
34452,11507
34453,10001
34461,10452
34465,16180
34470,16642
34471,22308
34472,22565
34473,13982
34474,14562
34475,6206
34476,19926
34479,11722
34480,16277
34481,19737
34482,19254
34484,3354
34488,9588
34491,24567
34498,579
34601,20115
34602,6588
34604,11567
34606,25583
34607,8045
34608,30940
34609,37586
34610,13868
34613,16885
34614,6979
34637,7387
34638,23614
34639,25937
34652,22528
34653,32189
34654,21445
34655,39218
34661,104
34667,32061
34668,43898
34669,12333
34677,19990
34679,43
34681,730
34683,31789
34684,26668
34685,16555
34688,7096
34689,24654
34690,10584
34691,18384
34695,16593
34698,35646
34705,2741
34711,51577
34714,16905
34715,14414
34731,13424
34734,3461
34736,14490
34737,2799
34739,231
34741,35168
34743,31807
34744,42176
34746,36099
34747,18248
34748,31772
34753,4709
34756,3351
34758,27856
34759,28431
34760,614
34761,29103
34762,454
34769,20685
34771,18699
34772,24299
34773,3367
34785,30742
34786,37363
34787,50758
34788,17190
34797,869
34945,4229
34946,2509
34947,5969
34949,7439
34950,7179
34951,14810
34952,35591
34953,51191
34956,5851
34957,21942
34972,17181
34974,21680
34981,4405
34982,20346
34983,33740
34984,11314
34986,21313
34987,7611
34990,28650
34994,15406
34996,10151
34997,40400
