Zipcode,Below_Poverty_Percent,Below_Poverty_Total
32805,27.43,5023
32806,13.67,3684
32807,18.02,6219
32808,27.19,15916
32809,20.58,5903
32810,17.57,6635
32811,21.56,8794
32812,15.34,5489
32814,6.09,485
32817,18.49,6293
32818,20.93,12098
32819,9.82,2667
32820,11.14,1149
32821,11.85,2086
32822,22.81,14055
32824,9.65,4481
32825,14.07,8596
32826,22.30,4671
32827,8.20,770
32828,11.18,7748
32829,6.92,1405
32830,0.00,0
32831,0.00,0
32832,6.86,1915
32833,8.02,791
32835,11.49,5494
32836,6.68,1339
32837,12.56,6416
32839,20.79,10313
32901,22.65,5230
32903,6.17,896
32904,10.58,3359
32905,17.68,4066
32907,9.88,4422
32908,15.92,2133
32909,13.34,4139
32920,10.08,1030
32922,28.67,4788
32925,11.39,154
32926,13.35,2827
32927,12.13,3275
32931,5.86,806
32934,5.92,1121
32935,14.99,6153
32937,8.16,2244
32940,4.99,2085
32948,13.30,1006
32949,3.65,90
32950,9.50,429
32951,5.33,638
32952,7.03,1462
32953,12.88,3033
32955,7.04,2722
32958,11.31,3236
32960,13.64,2862
32962,11.30,2988
32963,4.05,608
32966,9.02,1651
32967,18.38,4103
32968,6.19,793
32970,46.34,171
32976,11.41,1037
33001,20.54,68
33004,18.94,3014
33009,20.18,8372
33010,21.91,9826
33012,25.65,18879
33013,23.04,7248
33014,20.29,8494
33015,14.59,9783
33016,16.15,8328
33018,9.44,5039
33019,8.84,1210
33020,18.56,8246
33021,9.61,4723
33023,15.20,11209
33024,10.55,8056
33025,11.94,8696
33026,6.83,2171
33027,11.86,7199
33028,4.35,1166
33029,5.23,2513
33030,28.56,9993
33031,5.80,413
33032,19.66,9815
33033,22.26,12949
33034,41.48,8106
33035,18.51,2973
33036,9.60,333
33037,15.93,1720
33039,21.43,60
33040,11.13,3732
33042,7.06,466
33043,11.00,535
33050,11.56,1085
33051,0.75,4
33054,34.82,10708
33055,20.44,8248
33056,22.70,8153
33060,25.27,9380
33062,10.50,2362
33063,11.80,6420
33064,18.42,11035
33065,14.06,8134
33066,8.65,1448
33067,3.55,968
33068,18.19,9567
33069,14.82,3725
33070,4.34,217
33071,9.04,3556
33073,7.69,2678
33076,4.61,1797
33101,N/A,N/A
33109,10.29,42
33122,10.73,22
33125,29.79,17484
33126,21.54,11373
33127,31.59,9916
33128,32.83,2478
33129,12.95,1780
33130,23.89,7064
33131,8.24,1522
33132,12.87,1614
33133,15.01,5330
33134,10.48,4206
33135,26.12,10110
33136,37.56,5839
33137,15.65,3520
33138,16.56,4988
33139,15.45,5999
33140,7.88,1554
33141,14.41,5704
33142,34.06,19866
33143,11.17,3454
33144,12.50,3656
33145,12.04,3686
33146,7.91,931
33147,28.77,13687
33149,4.89,633
33150,29.91,8775
33154,11.59,1696
33155,12.74,5902
33156,7.63,2555
33157,13.67,9155
33158,1.96,127
33160,11.82,4668
33161,23.12,12525
33162,16.93,7936
33165,14.03,7804
33166,12.49,2810
33167,21.06,4334
33168,16.34,4415
33169,17.77,7336
33170,21.79,3049
33172,12.69,5492
33173,10.68,3499
33174,14.18,4475
33175,12.41,6604
33176,9.12,4744
33177,12.74,7138
33178,13.02,6791
33179,11.48,5068
33180,8.09,2605
33181,15.86,3131
33182,5.62,775
33183,13.34,4881
33184,10.13,2207
33185,7.48,2341
33186,11.73,8017
33187,8.05,1557
33189,11.17,2818
33190,13.40,2157
33193,13.57,6761
33194,7.03,432
33196,9.34,4952
33301,5.20,739
33304,16.52,3025
33305,7.34,888
33306,6.43,201
33308,7.55,2043
33309,17.37,7044
33311,30.56,23019
33312,15.82,8618
33313,20.55,12786
33314,19.55,5105
33315,13.32,1831
33316,12.69,1210
33317,14.65,5616
33319,14.60,6804
33321,11.81,5560
33322,10.48,4093
33323,3.40,734
33324,9.44,4619
33325,7.47,2191
33326,6.85,2269
33327,7.40,1762
33328,8.42,2474
33330,5.85,921
33331,3.38,869
33332,3.90,452
33334,17.15,5051
33351,12.47,4385
33401,17.30,4674
33403,14.69,1877
33404,23.93,6994
33405,19.31,3971
33406,9.01,2334
33407,23.30,7245
33408,6.34,1155
33409,20.36,6597
33410,7.71,2673
33411,7.38,5273
33412,5.61,866
33413,10.08,1757
33414,6.93,4241
33415,19.52,10012
33417,20.62,6937
33418,6.04,2452
33426,8.89,2108
33428,10.39,4292
33430,41.78,9368
33431,8.50,1602
33432,10.70,2192
33433,8.38,3323
33434,6.63,1356
33435,16.95,6100
33436,9.42,4163
33437,5.79,2201
33438,4.63,17
33440,28.65,5628
33441,16.55,4506
33442,10.77,3093
33444,15.11,3697
33445,10.23,3216
33446,9.62,2501
33449,4.32,532
33455,10.48,2303
33458,8.62,5007
33460,24.20,7747
33461,19.75,9374
33462,14.43,4758
33463,14.42,9096
33467,6.86,3718
33469,6.34,945
33470,9.78,2668
33471,20.63,1164
33472,6.10,1211
33473,1.88,229
33476,43.00,3472
33477,6.38,803
33478,3.42,480
33480,5.81,583
33483,7.93,1005
33484,8.45,2189
33486,11.55,2660
33487,7.67,1585
33493,30.48,510
33496,6.30,1416
33498,4.95,749
33503,9.88,16
33510,10.77,3159
33511,10.48,6100
33513,15.97,1669
33514,10.39,280
33521,10.95,61
33523,16.47,3075
33525,15.47,2976
33527,21.55,3242
33534,19.92,3396
33538,17.75,836
33540,20.37,1738
33541,17.17,3593
33542,18.25,3968
33543,8.21,2303
33544,5.18,1447
33545,6.59,1291
33547,6.01,1542
33548,5.22,377
33549,7.30,1306
33556,4.51,1045
33558,4.64,1122
33559,11.28,2066
33563,18.11,5042
33565,15.91,2829
33566,11.21,2394
33567,18.30,2230
33569,9.66,2733
33570,18.83,5616
33572,6.52,1327
33573,8.55,1949
33576,8.51,383
33578,11.97,6270
33579,5.58,1998
33584,14.85,3949
33585,4.03,45
33592,17.10,1957
33594,8.68,3029
33596,2.89,886
33597,18.89,1444
33598,15.80,3136
33602,16.87,2610
33603,24.46,5196
33604,22.23,8744
33605,36.32,6361
33606,10.91,1872
33607,22.32,5435
33609,12.64,2318
33610,25.65,11885
33611,9.15,2998
33612,29.72,15267
33613,29.30,10389
33614,19.60,9495
33615,14.62,6912
33616,14.97,2500
33617,23.32,10858
33618,6.87,1865
33619,21.52,8072
33620,100.00,11
33621,2.61,63
33624,7.85,3109
33625,10.85,2960
33626,4.10,1260
33629,4.55,1226
33634,16.58,3762
33635,16.61,3096
33637,15.43,2702
33647,8.34,5903
33701,17.16,2545
33702,10.81,3409
33703,7.55,1929
33704,7.13,1203
33705,22.72,6485
33706,6.58,1073
33707,10.92,2655
33708,9.38,1507
33709,14.68,3533
33710,8.65,2935
33711,17.20,3102
33712,19.29,4710
33713,13.17,4227
33714,22.87,4978
33715,5.25,383
33716,13.93,2498
33744,83.58,56
33755,23.76,6300
33756,18.39,6124
33759,10.78,1927
33760,18.91,3191
33761,8.32,1636
33762,14.39,906
33763,11.30,2209
33764,9.79,2656
33765,15.07,2199
33767,11.04,823
33770,14.05,3716
33771,11.32,3361
33772,9.37,2133
33773,10.45,1820
33774,13.28,2391
33776,3.17,429
33777,8.45,1387
33778,10.24,1481
33781,17.36,4286
33782,9.86,2283
33785,10.38,564
33786,8.69,136
33801,28.30,8934
33803,10.68,3114
33805,30.67,7667
33809,11.64,3495
33810,12.72,6432
33811,8.69,1935
33812,4.95,640
33813,3.81,1451
33815,22.86,3450
33823,18.61,6206
33825,24.95,6083
33827,13.96,390
33830,17.11,4824
33834,25.05,1459
33837,13.75,4184
33838,24.12,1051
33839,16.75,562
33841,15.02,1338
33843,15.87,1536
33844,19.68,7165
33847,15.91,28
33848,38.39,382
33849,28.04,318
33850,19.75,1644
33851,8.50,98
33852,22.09,4628
33853,21.57,2474
33854,28.23,83
33855,N/A,N/A
33856,0.00,0
33857,31.93,759
33859,14.72,1514
33860,15.47,4119
33865,25.99,249
33867,14.98,49
33868,14.58,1514
33870,22.64,4822
33872,10.05,1588
33873,23.47,3285
33875,5.88,675
33876,8.43,411
33877,0.00,0
33880,18.77,7562
33881,22.61,7732
33884,9.52,2999
33890,24.13,1146
33896,12.00,1391
33897,10.63,2414
33898,19.49,3300
33901,19.34,3922
33903,14.77,3329
33904,10.56,3266
33905,14.47,5227
33907,19.13,4586
33908,11.33,4031
33909,9.81,3112
33912,4.98,921
33913,6.17,1477
33914,8.47,3230
33916,25.39,6279
33917,16.27,4847
33919,8.11,2452
33920,5.45,340
33921,10.36,84
33922,14.05,577
33924,51.79,101
33928,6.34,1592
33930,18.17,169
33931,10.59,1117
33935,21.54,4988
33936,25.53,6259
33944,0.00,0
33945,N/A,N/A
33946,5.75,121
33947,8.04,731
33948,10.98,1863
33950,9.88,2282
33952,18.27,6028
33953,9.85,664
33954,7.90,821
33955,9.13,912
33956,11.46,400
33957,6.65,486
33960,12.35,82
33965,N/A,N/A
33966,3.45,347
33967,16.26,4084
33971,17.88,4972
33972,13.96,2149
33973,32.18,5510
33974,16.66,2951
33976,14.60,2654
33980,11.20,1463
33981,8.01,908
33982,10.17,977
33983,8.67,1295
33990,13.89,4783
33991,8.11,1810
33993,11.38,3169
34101,N/A,N/A
34102,11.09,1264
34103,6.34,825
34104,11.92,2911
34105,4.63,826
34108,6.77,1113
34109,7.64,1846
34110,8.18,1951
34112,12.30,3204
34113,9.73,2126
34114,10.14,1848
34116,14.62,5264
34117,7.34,1245
34119,7.11,2312
34120,7.78,2758
34134,4.51,671
34135,9.09,4301
34137,60.52,394
34138,14.41,49
34139,1.96,4
34140,37.39,126
34141,0.00,0
34142,34.54,10238
34145,6.03,1075
34201,2.23,89
34202,4.20,1032
34203,12.95,5018
34205,19.01,6029
34207,18.06,6500
34208,19.13,7785
34209,9.17,3161
34210,12.70,2039
34211,3.23,287
34212,5.68,1199
34215,7.41,42
34216,5.52,40
34217,9.24,465
34219,3.57,880
34221,13.67,6154
34222,7.54,877
34223,8.22,1503
34224,9.42,1534
34228,3.09,225
34229,6.27,481
34231,11.67,3488
34232,8.67,3021
34233,8.17,1432
34234,26.59,5683
34235,8.30,1259
34236,10.88,1391
34237,12.75,2149
34238,5.02,996
34239,8.06,1248
34240,7.57,863
34241,5.44,844
34242,5.85,437
34243,8.98,2777
34251,5.32,375
34266,29.76,9037
34268,0.00,0
34269,8.05,362
34275,7.80,1596
34285,7.24,1329
34286,5.14,1036
34287,8.61,2446
34288,15.05,1718
34289,6.81,237
34291,2.89,162
34292,5.86,889
34293,6.41,2531
